Date,Settle
1998-04-17,8.938
1998-04-20,8.583
1998-04-21,9.208
1998-04-22,9.208
1998-04-23,8.833
1998-04-24,8.75
1998-04-27,8.522
1998-04-28,8.333
1998-04-29,7.917
1998-04-30,8.0
1998-05-01,8.792
1998-05-04,8.813
1998-05-05,8.667
1998-05-06,8.897
1998-05-07,9.042
1998-05-08,9.833
1998-05-11,9.583
1998-05-12,9.5
1998-05-13,9.292
1998-05-14,9.083
1998-05-15,8.615
1998-05-18,8.833
1998-05-19,9.0
1998-05-20,9.042
1998-05-21,8.698
1998-05-22,9.333
1998-05-26,8.49
1998-05-27,8.5
1998-05-28,8.792
1998-05-29,8.522
1998-06-01,8.167
1998-06-02,8.407
1998-06-03,8.667
1998-06-04,9.147
1998-06-05,9.375
1998-06-08,9.458
1998-06-09,9.583
1998-06-10,9.105
1998-06-11,8.75
1998-06-12,9.188
1998-06-15,8.875
1998-06-16,9.167
1998-06-17,9.167
1998-06-18,9.333
1998-06-19,9.022
1998-06-22,9.657
1998-06-23,9.75
1998-06-24,11.022
1998-06-25,11.313
1998-06-26,11.333
1998-06-29,11.647
1998-06-30,12.272
1998-07-01,13.147
1998-07-02,12.75
1998-07-06,13.083
1998-07-07,12.583
1998-07-08,12.833
1998-07-09,12.813
1998-07-10,12.667
1998-07-13,12.667
1998-07-14,13.0
1998-07-15,12.782
1998-07-16,12.563
1998-07-17,12.563
1998-07-20,11.5
1998-07-21,12.25
1998-07-22,11.532
1998-07-23,10.958
1998-07-24,10.647
1998-07-27,10.542
1998-07-28,11.125
1998-07-29,10.75
1998-07-30,10.772
1998-07-31,10.458
1998-08-03,10.208
1998-08-04,9.855
1998-08-05,9.605
1998-08-06,10.022
1998-08-07,10.208
1998-08-10,9.968
1998-08-11,9.698
1998-08-12,10.292
1998-08-13,10.593
1998-08-14,10.917
1998-08-17,11.5
1998-08-18,12.042
1998-08-19,11.958
1998-08-20,11.438
1998-08-21,11.198
1998-08-24,11.167
1998-08-25,11.125
1998-08-26,11.0
1998-08-27,9.98
1998-08-28,9.855
1998-08-31,8.542
1998-09-01,9.968
1998-09-02,9.792
1998-09-03,9.948
1998-09-04,10.0
1998-09-08,11.417
1998-09-09,10.98
1998-09-10,11.083
1998-09-11,11.5
1998-09-14,11.917
1998-09-15,12.147
1998-09-16,12.48
1998-09-17,12.135
1998-09-18,12.5
1998-09-21,13.022
1998-09-22,12.772
1998-09-23,13.98
1998-09-24,13.615
1998-09-25,13.333
1998-09-28,13.48
1998-09-29,12.833
1998-09-30,11.833
1998-10-01,10.958
1998-10-02,11.105
1998-10-05,10.583
1998-10-06,10.917
1998-10-07,10.792
1998-10-08,10.292
1998-10-09,10.355
1998-10-12,11.875
1998-10-13,11.323
1998-10-14,11.583
1998-10-15,11.667
1998-10-16,12.083
1998-10-19,12.167
1998-10-20,11.73
1998-10-21,11.605
1998-10-22,12.708
1998-10-23,12.583
1998-10-26,12.897
1998-10-27,12.958
1998-10-28,13.063
1998-10-29,13.365
1998-10-30,13.823
1998-11-02,13.917
1998-11-03,13.635
1998-11-04,14.188
1998-11-05,14.042
1998-11-06,14.417
1998-11-09,15.417
1998-11-10,16.083
1998-11-11,15.0
1998-11-12,14.438
1998-11-13,14.522
1998-11-16,15.0
1998-11-17,14.802
1998-11-18,14.688
1998-11-19,14.792
1998-11-20,14.635
1998-11-23,14.438
1998-11-24,14.897
1998-11-25,16.105
1998-11-27,16.042
1998-11-30,14.885
1998-12-01,15.105
1998-12-02,15.468
1998-12-03,15.313
1998-12-04,15.522
1998-12-07,15.333
1998-12-08,16.8
1998-12-09,17.85
1998-12-10,16.833
1998-12-11,18.0
1998-12-14,17.083
1998-12-15,17.733
1998-12-16,17.733
1998-12-17,17.983
1998-12-18,18.667
1998-12-21,19.983
1998-12-22,19.4
1998-12-23,19.85
1998-12-24,20.083
1998-12-28,21.383
1998-12-29,20.55
1998-12-30,19.167
1998-12-31,20.133
1999-01-04,21.15
1999-01-05,22.217
1999-01-06,26.467
1999-01-07,28.8
1999-01-08,29.883
1999-01-11,26.217
1999-01-12,23.0
1999-01-13,21.883
1999-01-14,22.65
1999-01-15,22.267
1999-01-19,21.667
1999-01-20,21.15
1999-01-21,19.817
1999-01-22,20.0
1999-01-25,20.05
1999-01-26,21.583
1999-01-27,24.167
1999-01-28,23.5
1999-01-29,22.183
1999-02-01,22.333
1999-02-02,21.467
1999-02-03,22.267
1999-02-04,21.733
1999-02-05,21.833
1999-02-08,21.333
1999-02-09,20.3
1999-02-10,19.25
1999-02-11,20.5
1999-02-12,20.933
1999-02-16,21.567
1999-02-17,19.417
1999-02-18,20.333
1999-02-19,20.03
1999-02-22,20.583
1999-02-23,21.377
1999-02-24,21.877
1999-02-25,21.0
1999-02-26,20.063
1999-03-01,20.313
1999-03-02,19.147
1999-03-03,17.667
1999-03-04,16.687
1999-03-05,17.917
1999-03-08,22.167
1999-03-09,20.667
1999-03-10,21.543
1999-03-11,21.333
1999-03-12,21.21
1999-03-15,21.543
1999-03-16,21.127
1999-03-17,22.46
1999-03-18,21.083
1999-03-19,20.23
1999-03-22,20.353
1999-03-23,19.583
1999-03-24,19.98
1999-03-25,20.417
1999-03-26,19.833
1999-03-29,20.333
1999-03-30,20.25
1999-03-31,20.543
1999-04-01,20.583
1999-04-05,22.647
1999-04-06,23.627
1999-04-07,22.877
1999-04-08,23.543
1999-04-09,24.667
1999-04-12,24.48
1999-04-13,24.02
1999-04-14,21.833
1999-04-15,21.833
1999-04-16,23.377
1999-04-19,20.0
1999-04-20,21.46
1999-04-21,24.377
1999-04-22,23.313
1999-04-23,22.917
1999-04-26,24.833
1999-04-27,26.127
1999-04-28,24.793
1999-04-29,24.167
1999-04-30,25.71
1999-05-03,27.167
1999-05-04,26.333
1999-05-05,26.833
1999-05-06,28.293
1999-05-07,27.897
1999-05-10,28.0
1999-05-11,30.897
1999-05-12,32.21
1999-05-13,32.147
1999-05-14,31.187
1999-05-17,30.25
1999-05-18,32.793
1999-05-19,33.157
1999-05-20,33.293
1999-05-21,35.667
1999-05-24,34.1
1999-05-25,29.46
1999-05-26,33.187
1999-05-27,32.793
1999-05-28,31.917
1999-06-01,31.02
1999-06-02,31.583
1999-06-03,32.0
1999-06-04,32.5
1999-06-07,32.833
1999-06-08,34.1
1999-06-09,36.267
1999-06-10,37.533
1999-06-11,37.533
1999-06-14,33.667
1999-06-15,36.867
1999-06-16,37.833
1999-06-17,37.667
1999-06-18,37.3
1999-06-21,38.0
1999-06-22,39.133
1999-06-23,38.267
1999-06-24,35.9
1999-06-25,37.7
1999-06-28,39.333
1999-06-29,42.167
1999-06-30,48.2
1999-07-01,45.9
1999-07-02,45.667
1999-07-06,46.3
1999-07-07,45.3
1999-07-08,46.267
1999-07-09,47.933
1999-07-12,48.133
1999-07-13,46.833
1999-07-14,46.6
1999-07-15,46.167
1999-07-16,46.6
1999-07-19,45.6
1999-07-20,44.0
1999-07-21,43.767
1999-07-22,40.633
1999-07-23,41.533
1999-07-26,37.633
1999-07-27,38.867
1999-07-28,42.667
1999-07-29,40.867
1999-07-30,40.167
1999-08-02,39.4
1999-08-03,37.3
1999-08-04,36.5
1999-08-05,38.1
1999-08-06,36.333
1999-08-09,36.133
1999-08-10,34.967
1999-08-11,37.167
1999-08-12,37.8
1999-08-13,40.033
1999-08-16,42.467
1999-08-17,43.333
1999-08-18,43.3
1999-08-19,42.333
1999-08-20,40.967
1999-08-23,43.2
1999-08-24,44.0
1999-08-25,44.567
1999-08-26,44.5
1999-08-27,43.867
1999-08-30,41.767
1999-08-31,42.933
1999-09-01,42.833
1999-09-02,41.6
1999-09-03,43.533
1999-09-07,43.333
1999-09-08,41.367
1999-09-09,41.8
1999-09-10,39.667
1999-09-13,36.433
1999-09-14,38.033
1999-09-15,37.0
1999-09-16,37.767
1999-09-17,37.433
1999-09-20,36.433
1999-09-21,34.7
1999-09-22,38.1
1999-09-23,35.567
1999-09-24,36.533
1999-09-27,36.7
1999-09-28,37.2
1999-09-29,36.6
1999-09-30,36.333
1999-10-01,37.5
1999-10-04,39.033
1999-10-05,40.1
1999-10-06,41.333
1999-10-07,41.367
1999-10-08,39.767
1999-10-11,41.6
1999-10-12,40.8
1999-10-13,39.833
1999-10-14,38.933
1999-10-15,39.533
1999-10-18,37.4
1999-10-19,36.6
1999-10-20,38.0
1999-10-21,39.033
1999-10-22,37.767
1999-10-25,37.3
1999-10-26,38.267
1999-10-27,36.367
1999-10-28,39.767
1999-10-29,42.6
1999-11-01,46.0
1999-11-02,47.2
1999-11-03,50.033
1999-11-04,50.2
1999-11-05,49.767
1999-11-08,52.0
1999-11-09,52.6
1999-11-10,56.2
1999-11-11,60.0
1999-11-12,60.1
1999-11-15,57.7
1999-11-16,58.567
1999-11-17,58.5
1999-11-18,58.267
1999-11-19,65.5
1999-11-22,69.533
1999-11-23,64.267
1999-11-24,67.333
1999-11-26,69.033
1999-11-29,67.633
1999-11-30,59.7
1999-12-01,63.333
1999-12-02,66.633
1999-12-03,69.267
1999-12-06,73.833
1999-12-07,74.833
1999-12-08,75.0
1999-12-09,75.433
1999-12-10,72.6
1999-12-13,72.667
1999-12-14,70.033
1999-12-15,71.433
1999-12-16,74.0
1999-12-17,75.1
1999-12-20,74.467
1999-12-21,76.633
1999-12-22,84.667
1999-12-23,81.9
1999-12-27,83.333
1999-12-28,89.733
1999-12-29,91.667
1999-12-30,90.6
1999-12-31,90.8
2000-01-03,91.033
2000-01-04,85.067
2000-01-05,82.4
2000-01-06,76.633
2000-01-07,88.833
2000-01-10,98.533
2000-01-11,89.333
2000-01-12,94.833
2000-01-13,94.867
2000-01-14,98.433
2000-01-18,109.5
2000-01-19,106.033
2000-01-20,106.3
2000-01-21,104.133
2000-01-24,95.867
2000-01-25,94.267
2000-01-26,95.533
2000-01-27,93.8
2000-01-28,94.667
2000-01-31,96.433
2000-02-01,98.933
2000-02-02,105.133
2000-02-03,107.867
2000-02-04,103.667
2000-02-07,113.1
2000-02-08,111.667
2000-02-09,112.3
2000-02-10,116.333
2000-02-11,112.367
2000-02-14,114.533
2000-02-15,116.267
2000-02-16,124.2
2000-02-17,126.867
2000-02-18,126.667
2000-02-22,125.333
2000-02-23,124.0
2000-02-24,124.6
2000-02-25,127.333
2000-02-28,121.0
2000-02-29,131.6
2000-03-01,137.333
2000-03-02,137.4
2000-03-03,155.267
2000-03-06,156.8
2000-03-07,162.0
2000-03-08,156.333
2000-03-09,159.333
2000-03-10,162.067
2000-03-13,153.333
2000-03-14,133.933
2000-03-15,125.267
2000-03-16,141.867
2000-03-17,145.067
2000-03-20,141.6
2000-03-21,152.0
2000-03-22,161.733
2000-03-23,164.0
2000-03-24,155.333
2000-03-27,155.333
2000-03-28,148.467
2000-03-29,144.6
2000-03-30,140.6
2000-03-31,161.933
2000-04-03,146.067
2000-04-04,136.0
2000-04-05,136.4
2000-04-06,135.2
2000-04-07,138.533
2000-04-10,129.667
2000-04-11,117.733
2000-04-12,105.333
2000-04-13,96.067
2000-04-14,81.533
2000-04-17,99.067
2000-04-18,104.667
2000-04-19,94.867
2000-04-20,101.667
2000-04-24,94.6
2000-04-25,107.267
2000-04-26,107.067
2000-04-27,113.867
2000-04-28,114.933
2000-05-01,116.2
2000-05-02,121.333
2000-05-03,117.267
2000-05-04,116.867
2000-05-05,118.533
2000-05-08,114.2
2000-05-09,107.933
2000-05-10,96.667
2000-05-11,98.733
2000-05-12,99.6
2000-05-15,103.533
2000-05-16,111.067
2000-05-17,108.133
2000-05-18,101.667
2000-05-19,93.067
2000-05-22,90.733
2000-05-23,83.333
2000-05-24,86.0
2000-05-25,81.133
2000-05-26,78.933
2000-05-30,88.067
2000-05-31,88.867
2000-06-01,96.4
2000-06-02,109.6
2000-06-05,108.067
2000-06-06,104.0
2000-06-07,104.0
2000-06-08,108.933
2000-06-09,104.467
2000-06-12,97.8
2000-06-13,101.6
2000-06-14,99.2
2000-06-15,98.333
2000-06-16,96.0
2000-06-19,98.333
2000-06-20,111.2
2000-06-21,114.267
2000-06-22,112.333
2000-06-23,110.067
2000-06-26,119.2
2000-06-27,122.2
2000-06-28,125.333
2000-06-29,136.533
2000-06-30,145.933
2000-07-03,147.0
2000-07-05,147.8
2000-07-06,151.267
2000-07-07,156.733
2000-07-10,149.933
2000-07-11,151.267
2000-07-12,157.8
2000-07-13,166.2
2000-07-14,166.733
2000-07-17,174.267
2000-07-18,163.867
2000-07-19,158.067
2000-07-20,157.067
2000-07-21,153.267
2000-07-24,149.733
2000-07-25,158.0
2000-07-26,158.933
2000-07-27,147.0
2000-07-28,142.067
2000-07-31,149.533
2000-08-01,143.267
2000-08-02,143.6
2000-08-03,152.2
2000-08-04,159.267
2000-08-07,165.267
2000-08-08,161.2
2000-08-09,156.4
2000-08-10,150.133
2000-08-11,150.067
2000-08-14,160.533
2000-08-15,163.933
2000-08-16,160.6
2000-08-17,165.0
2000-08-18,172.067
2000-08-21,173.2
2000-08-22,174.8
2000-08-23,179.933
2000-08-24,182.4
2000-08-25,178.733
2000-08-28,176.733
2000-08-29,167.933
2000-08-30,158.933
2000-08-31,166.667
2000-09-01,161.4
2000-09-05,152.2
2000-09-06,150.6
2000-09-07,159.067
2000-09-08,153.067
2000-09-11,149.4
2000-09-12,145.333
2000-09-13,145.667
2000-09-14,157.733
2000-09-15,154.733
2000-09-18,148.2
2000-09-19,156.933
2000-09-20,161.6
2000-09-21,159.667
2000-09-22,165.867
2000-09-25,168.2
2000-09-26,171.333
2000-09-27,165.2
2000-09-28,170.8
2000-09-29,162.533
2000-10-02,155.8
2000-10-03,149.533
2000-10-04,161.267
2000-10-05,155.733
2000-10-06,151.533
2000-10-09,154.0
2000-10-10,140.667
2000-10-11,141.067
2000-10-12,137.0
2000-10-13,143.533
2000-10-16,148.267
2000-10-17,149.533
2000-10-18,139.6
2000-10-19,156.067
2000-10-20,161.467
2000-10-23,167.867
2000-10-24,159.333
2000-10-25,145.267
2000-10-26,142.733
2000-10-27,151.4
2000-10-30,141.8
2000-10-31,148.267
2000-11-01,143.533
2000-11-02,146.6
2000-11-03,148.267
2000-11-06,146.0
2000-11-07,117.667
2000-11-08,101.2
2000-11-09,108.267
2000-11-10,110.867
2000-11-13,108.933
2000-11-14,105.933
2000-11-15,113.133
2000-11-16,96.333
2000-11-17,88.667
2000-11-20,86.733
2000-11-21,84.2
2000-11-22,74.067
2000-11-24,78.067
2000-11-27,65.04
2000-11-28,56.707
2000-11-29,63.333
2000-11-30,65.0
2000-12-01,69.867
2000-12-04,74.533
2000-12-05,78.8
2000-12-06,77.067
2000-12-07,73.733
2000-12-08,85.467
2000-12-11,95.2
2000-12-12,94.067
2000-12-13,92.2
2000-12-14,78.2
2000-12-15,82.067
2000-12-18,70.267
2000-12-19,64.46
2000-12-20,60.167
2000-12-21,51.667
2000-12-22,62.793
2000-12-26,61.667
2000-12-27,60.0
2000-12-28,62.087
2000-12-29,56.0
2001-01-02,50.753
2001-01-03,71.267
2001-01-04,66.867
2001-01-05,58.0
2001-01-08,62.293
2001-01-09,64.667
2001-01-10,73.267
2001-01-11,77.2
2001-01-12,82.133
2001-01-16,78.6
2001-01-17,85.8
2001-01-18,85.2
2001-01-19,86.733
2001-01-22,85.867
2001-01-23,88.933
2001-01-24,83.267
2001-01-25,69.333
2001-01-26,73.333
2001-01-29,73.533
2001-01-30,75.267
2001-01-31,73.267
2001-02-01,71.333
2001-02-02,66.087
2001-02-05,63.5
2001-02-06,61.667
2001-02-07,55.207
2001-02-08,52.587
2001-02-09,51.46
2001-02-12,53.627
2001-02-13,49.96
2001-02-14,54.127
2001-02-15,56.667
2001-02-16,49.42
2001-02-20,42.92
2001-02-21,43.833
2001-02-22,43.127
2001-02-23,46.293
2001-02-26,42.0
2001-02-27,35.753
2001-02-28,32.833
2001-03-01,32.0
2001-03-02,30.873
2001-03-05,31.42
2001-03-06,31.92
2001-03-07,26.833
2001-03-08,27.293
2001-03-09,25.753
2001-03-12,22.167
2001-03-13,23.96
2001-03-14,23.04
2001-03-15,22.753
2001-03-16,22.253
2001-03-19,22.873
2001-03-20,20.333
2001-03-21,21.087
2001-03-22,25.253
2001-03-23,22.753
2001-03-26,22.6
2001-03-27,22.313
2001-03-28,20.707
2001-03-29,19.467
2001-03-30,19.267
2001-04-02,17.967
2001-04-03,15.64
2001-04-04,14.247
2001-04-05,17.327
2001-04-06,15.72
2001-04-09,16.087
2001-04-10,19.807
2001-04-11,21.193
2001-04-12,23.587
2001-04-16,20.74
2001-04-17,19.6
2001-04-18,22.673
2001-04-19,25.34
2001-04-20,27.08
2001-04-23,23.727
2001-04-24,22.68
2001-04-25,25.4
2001-04-26,24.667
2001-04-27,24.933
2001-04-30,27.707
2001-05-01,27.973
2001-05-02,32.24
2001-05-03,29.193
2001-05-04,28.66
2001-05-07,28.193
2001-05-08,29.687
2001-05-09,26.833
2001-05-10,25.567
2001-05-11,25.66
2001-05-14,24.8
2001-05-15,24.76
2001-05-16,27.107
2001-05-17,27.36
2001-05-18,28.56
2001-05-21,31.32
2001-05-22,30.727
2001-05-23,28.147
2001-05-24,26.787
2001-05-25,26.233
2001-05-29,24.593
2001-05-30,22.06
2001-05-31,22.173
2001-06-01,22.513
2001-06-04,22.32
2001-06-05,25.04
2001-06-06,23.713
2001-06-07,26.827
2001-06-08,24.527
2001-06-11,23.933
2001-06-12,24.833
2001-06-13,23.053
2001-06-14,22.027
2001-06-15,21.28
2001-06-18,20.273
2001-06-19,20.46
2001-06-20,21.667
2001-06-21,22.6
2001-06-22,22.453
2001-06-25,23.66
2001-06-26,24.067
2001-06-27,24.94
2001-06-28,25.927
2001-06-29,28.507
2001-07-02,28.607
2001-07-03,27.86
2001-07-05,27.127
2001-07-06,25.26
2001-07-09,26.04
2001-07-10,23.573
2001-07-11,25.567
2001-07-12,27.773
2001-07-13,28.693
2001-07-16,27.38
2001-07-17,28.18
2001-07-18,26.0
2001-07-19,28.267
2001-07-20,27.333
2001-07-23,27.073
2001-07-24,25.987
2001-07-25,26.02
2001-07-26,28.733
2001-07-27,29.253
2001-07-30,28.327
2001-07-31,29.087
2001-08-01,30.82
2001-08-02,30.933
2001-08-03,31.327
2001-08-06,31.807
2001-08-07,30.32
2001-08-08,28.527
2001-08-09,29.167
2001-08-10,28.367
2001-08-13,30.247
2001-08-14,29.427
2001-08-15,28.013
2001-08-16,27.46
2001-08-17,24.707
2001-08-20,25.193
2001-08-21,22.04
2001-08-22,22.627
2001-08-23,22.58
2001-08-24,24.62
2001-08-27,23.993
2001-08-28,22.853
2001-08-29,22.58
2001-08-30,20.64
2001-08-31,21.433
2001-09-04,20.487
2001-09-05,21.68
2001-09-06,20.52
2001-09-07,20.94
2001-09-10,20.393
2001-09-17,17.513
2001-09-18,16.233
2001-09-19,15.627
2001-09-20,15.773
2001-09-21,15.987
2001-09-24,17.34
2001-09-25,16.667
2001-09-26,15.287
2001-09-27,13.333
2001-09-28,13.533
2001-10-01,12.513
2001-10-02,13.067
2001-10-03,14.727
2001-10-04,16.673
2001-10-05,17.033
2001-10-08,17.833
2001-10-09,17.173
2001-10-10,17.8
2001-10-11,19.46
2001-10-12,21.2
2001-10-15,19.893
2001-10-16,21.313
2001-10-17,18.713
2001-10-18,19.96
2001-10-19,19.5
2001-10-22,20.2
2001-10-23,20.967
2001-10-24,23.86
2001-10-25,26.0
2001-10-26,24.7
2001-10-29,22.987
2001-10-30,21.8
2001-10-31,22.94
2001-11-01,24.887
2001-11-02,25.233
2001-11-05,26.84
2001-11-06,27.62
2001-11-07,27.167
2001-11-08,27.6
2001-11-09,29.153
2001-11-12,29.627
2001-11-13,30.393
2001-11-14,30.253
2001-11-15,29.66
2001-11-16,30.54
2001-11-19,31.7
2001-11-20,29.38
2001-11-21,30.633
2001-11-23,30.967
2001-11-26,33.327
2001-11-27,33.28
2001-11-28,31.3
2001-11-29,30.687
2001-11-30,29.327
2001-12-03,28.433
2001-12-04,30.9
2001-12-05,32.993
2001-12-06,32.187
2001-12-07,30.373
2001-12-10,29.3
2001-12-11,30.54
2001-12-12,30.633
2001-12-13,28.313
2001-12-14,28.86
2001-12-17,28.98
2001-12-18,28.527
2001-12-19,26.527
2001-12-20,24.633
2001-12-21,26.247
2001-12-24,26.5
2001-12-26,26.92
2001-12-27,28.033
2001-12-28,28.667
2001-12-31,27.247
2002-01-02,29.627
2002-01-03,31.8
2002-01-04,32.533
2002-01-07,31.58
2002-01-08,32.827
2002-01-09,34.287
2002-01-10,33.253
2002-01-11,32.88
2002-01-14,31.987
2002-01-15,33.0
2002-01-16,31.367
2002-01-17,32.307
2002-01-18,32.347
2002-01-22,29.033
2002-01-23,30.253
2002-01-24,30.18
2002-01-25,30.307
2002-01-28,29.733
2002-01-29,28.44
2002-01-30,28.827
2002-01-31,28.313
2002-02-01,28.153
2002-02-04,26.787
2002-02-05,26.6
2002-02-06,26.667
2002-02-07,24.613
2002-02-08,26.133
2002-02-11,26.7
2002-02-12,26.547
2002-02-13,26.907
2002-02-14,24.733
2002-02-15,23.353
2002-02-19,22.873
2002-02-20,23.047
2002-02-21,21.667
2002-02-22,22.047
2002-02-25,22.993
2002-02-26,23.1
2002-02-27,21.86
2002-02-28,20.433
2002-03-01,23.373
2002-03-04,25.333
2002-03-05,27.0
2002-03-06,26.693
2002-03-07,27.333
2002-03-08,29.44
2002-03-11,29.3
2002-03-12,27.867
2002-03-13,26.827
2002-03-14,26.16
2002-03-15,25.9
2002-03-18,26.147
2002-03-19,25.22
2002-03-20,23.307
2002-03-21,24.573
2002-03-22,24.12
2002-03-25,23.407
2002-03-26,23.407
2002-03-27,23.287
2002-03-28,23.933
2002-04-01,24.8
2002-04-02,22.993
2002-04-03,22.5
2002-04-04,22.907
2002-04-05,21.733
2002-04-08,22.593
2002-04-09,21.86
2002-04-10,22.207
2002-04-11,22.333
2002-04-12,22.767
2002-04-15,23.187
2002-04-16,25.573
2002-04-17,25.733
2002-04-18,25.44
2002-04-19,25.707
2002-04-22,24.6
2002-04-23,23.64
2002-04-24,22.673
2002-04-25,23.353
2002-04-26,22.127
2002-04-29,21.9
2002-04-30,23.0
2002-05-01,22.413
